2023-04-14 23:27:08 status half-installed libsemanage2:amd64 3.4-1build4
2023-04-14 23:27:08 status unpacked libsemanage2:amd64 3.4-1build4
2023-04-14 23:27:08 install libsepol2:amd64 <none> 3.4-2
2023-04-14 23:27:08 status half-installed libsepol2:amd64 3.4-2
2023-04-14 23:27:08 status unpacked libsepol2:amd64 3.4-2
2023-04-14 23:27:08 install libsmartcols1:amd64 <none> 2.38.1-4ubuntu1
2023-04-14 23:27:08 status half-installed libsmartcols1:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 status unpacked libsmartcols1:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 install libss2:amd64 <none> 1.47.0-1ubuntu1
2023-04-14 23:27:08 status half-installed libss2:amd64 1.47.0-1ubuntu1
2023-04-14 23:27:08 status unpacked libss2:amd64 1.47.0-1ubuntu1
2023-04-14 23:27:08 install libsystemd0:amd64 <none> 252.5-2ubuntu3
2023-04-14 23:27:08 status half-installed libsystemd0:amd64 252.5-2ubuntu3
2023-04-14 23:27:08 status unpacked libsystemd0:amd64 252.5-2ubuntu3
2023-04-14 23:27:08 install libtinfo6:amd64 <none> 6.4-2
2023-04-14 23:27:08 status half-installed libtinfo6:amd64 6.4-2
2023-04-14 23:27:08 status unpacked libtinfo6:amd64 6.4-2
2023-04-14 23:27:08 install libudev1:amd64 <none> 252.5-2ubuntu3
2023-04-14 23:27:08 status half-installed libudev1:amd64 252.5-2ubuntu3
2023-04-14 23:27:08 status unpacked libudev1:amd64 252.5-2ubuntu3
2023-04-14 23:27:08 install libuuid1:amd64 <none> 2.38.1-4ubuntu1
2023-04-14 23:27:08 status half-installed libuuid1:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 status unpacked libuuid1:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 install libzstd1:amd64 <none> 1.5.4+dfsg2-4
2023-04-14 23:27:08 status half-installed libzstd1:amd64 1.5.4+dfsg2-4
2023-04-14 23:27:08 status unpacked libzstd1:amd64 1.5.4+dfsg2-4
2023-04-14 23:27:08 install login:amd64 <none> 1:4.13+dfsg1-1ubuntu1
2023-04-14 23:27:08 status half-installed login:amd64 1:4.13+dfsg1-1ubuntu1
2023-04-14 23:27:08 status unpacked login:amd64 1:4.13+dfsg1-1ubuntu1
2023-04-14 23:27:08 install logsave:amd64 <none> 1.47.0-1ubuntu1
2023-04-14 23:27:08 status half-installed logsave:amd64 1.47.0-1ubuntu1
2023-04-14 23:27:08 status unpacked logsave:amd64 1.47.0-1ubuntu1
2023-04-14 23:27:08 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2023-04-14 23:27:08 status half-configured mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:08 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:08 status half-installed mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:08 status unpacked mawk:amd64 1.3.4.20200120-3.1
2023-04-14 23:27:08 install mount:amd64 <none> 2.38.1-4ubuntu1
2023-04-14 23:27:08 status half-installed mount:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 status unpacked mount:amd64 2.38.1-4ubuntu1
2023-04-14 23:27:08 install ncurses-base:all <none> 6.4-2
2023-04-14 23:27:08 status half-installed ncurses-base:all 6.4-2
2023-04-14 23:27:08 status unpacked ncurses-base:all 6.4-2
2023-04-14 23:27:08 install ncurses-bin:amd64 <none> 6.4-2
2023-04-14 23:27:08 status half-installed ncurses-bin:amd64 6.4-2
2023-04-14 23:27:08 status unpacked ncurses-bin:amd64 6.4-2
2023-04-14 23:27:08 install passwd:amd64 <none> 1:4.13+dfsg1-1ubuntu1
2023-04-14 23:27:08 status half-installed passwd:amd64 1:4.13+dfsg1-1ubuntu1
2023-04-14 23:27:08 status unpacked passwd:amd64 1:4.13+dfsg1-1ubuntu1
2023-04-14 23:27:08 upgrade perl-base:amd64 5.36.0-7 5.36.0-7
2023-04-14 23:27:08 status half-configured perl-base:amd64 5.36.0-7
2023-04-14 23:27:08 status unpacked perl-base:amd64 5.36.0-7
2023-04-14 23:27:08 status half-installed perl-base:amd64 5.36.0-7
2023-04-14 23:27:08 status unpacked perl-base:amd64 5.36.0-7
2023-04-14 23:27:08 install procps:amd64 <none> 2:4.0.3-1ubuntu1
2023-04-14 23:27:08 status half-installed procps:amd64 2:4.0.3-1ubuntu1
2023-04-14 23:27:08 status unpacked procps:amd64 2:4.0.3-1ubuntu1
2023-04-14 23:27:08 install sed:amd64 <none> 4.9-1
2023-04-14 23:27:08 status half-installed sed:amd64 4.9-1
2023-04-14 23:27:08 status unpacked sed:amd64 4.9-1
